Date,SARIMA_Forecast
2022-12-31,50.83907283859803
2023-01-01,50.839072838597225
2023-01-02,50.80963070646933
2023-01-03,50.809630706470294
2023-01-04,50.723486152332015
2023-01-05,50.723486152330445
2023-01-06,50.55693277101922
2023-01-07,50.5569327710158
2023-01-08,50.532368776074314
2023-01-09,50.532368776072076
2023-01-10,50.40840719436382
2023-01-11,50.40840719435249
2023-01-12,50.27373206082993
2023-01-13,50.27373206082918
2023-01-14,50.24805994758556
2023-01-15,50.24805994758646
2023-01-16,50.2098737214479
2023-01-17,50.20987372144643
2023-01-18,50.02344012770969
2023-01-19,50.023440127706486
2023-01-20,50.04863672152619
2023-01-21,50.0486367215241
2023-01-22,49.92302380746855
2023-01-23,49.92302380745794
2023-01-24,49.78858631032521
2023-01-25,49.78858631032446
2023-01-26,49.76267508496013
2023-01-27,49.76267508496103
2023-01-28,49.72144711875013
2023-01-29,49.72144711874865
