Date,SARIMA_Forecast
2022-12-31,168.33971214116283
2023-01-01,168.3397121411735
2023-01-02,167.90576443614682
2023-01-03,167.90576443614165
2023-01-04,168.2672592005427
2023-01-05,168.26725920053983
2023-01-06,168.24908080211182
2023-01-07,168.24908080211125
2023-01-08,167.98933598831374
2023-01-09,167.989335988311
2023-01-10,168.14766705850474
2023-01-11,168.14766705839696
2023-01-12,168.34756512262308
2023-01-13,168.34756512263195
2023-01-14,168.01330297650583
2023-01-15,168.01330297650154
2023-01-16,167.36585970115186
2023-01-17,167.36585970114947
2023-01-18,167.39437088733655
2023-01-19,167.3943708873361
2023-01-20,167.38297857955487
2023-01-21,167.38297857955254
2023-01-22,167.34690167880265
2023-01-23,167.34690167871295
2023-01-24,167.54341123304877
2023-01-25,167.54341123305798
2023-01-26,167.19241840626816
2023-01-27,167.1924184062637
2023-01-28,166.7143097902036
2023-01-29,166.71430979020113
