Date,SARIMA_Forecast
2022-12-31,165.82680396643892
2023-01-01,165.8268039664389
2023-01-02,165.7810090543552
2023-01-03,165.78100905435454
2023-01-04,165.76860504577607
2023-01-05,165.76860504577493
2023-01-06,166.5119998317274
2023-01-07,166.51199983172833
2023-01-08,166.9744084840219
2023-01-09,166.9744084840192
2023-01-10,167.07191340143365
2023-01-11,167.07191340140741
2023-01-12,167.16249691603804
2023-01-13,167.16249691603804
2023-01-14,167.2401931809642
2023-01-15,167.24019318096367
2023-01-16,167.07101142549232
2023-01-17,167.07101142549135
2023-01-18,167.43984052596363
2023-01-19,167.43984052596443
2023-01-20,167.62370417125638
2023-01-21,167.62370417125413
2023-01-22,167.6524529595862
2023-01-23,167.6524529595641
2023-01-24,167.7471561312877
2023-01-25,167.7471561312877
2023-01-26,167.80544496548296
2023-01-27,167.8054449654824
2023-01-28,167.66090183875073
2023-01-29,167.66090183874974
