Date,SARIMA_Forecast
2022-12-31,113.14566818083777
2023-01-01,113.14566819589352
2023-01-02,113.68418165651848
2023-01-03,113.68418165651767
2023-01-04,113.58841894640862
2023-01-05,113.58841894640854
2023-01-06,113.38897375582572
2023-01-07,113.3889737558259
2023-01-08,113.29957050598334
2023-01-09,113.29957050598313
2023-01-10,113.70271869934781
2023-01-11,113.70271869934332
2023-01-12,113.60838140933149
2023-01-13,113.60838142438712
2023-01-14,114.14687344138244
2023-01-15,114.14687344138163
2023-01-16,114.05109943073438
2023-01-17,114.0510994307343
2023-01-18,113.8516549304551
2023-01-19,113.8516549304553
2023-01-20,113.76227012125875
2023-01-21,113.76227012125852
2023-01-22,114.1654242329172
2023-01-23,114.1654242329127
2023-01-24,114.07108694295957
2023-01-25,114.07108695801521
2023-01-26,114.60957897517603
2023-01-27,114.60957897517522
2023-01-28,114.51380496461519
2023-01-29,114.5138049646151
