Date,SARIMA_Forecast
2022-12-31,263.06473860267374
2023-01-01,263.06473860266976
2023-01-02,262.80997565167775
2023-01-03,262.80997565167735
2023-01-04,263.16746181159226
2023-01-05,263.1674618115907
2023-01-06,263.40123933928714
2023-01-07,263.4012393392895
2023-01-08,263.2607881409429
2023-01-09,263.26078814094296
2023-01-10,263.83596175594903
2023-01-11,263.83596175588025
2023-01-12,264.04358804019614
2023-01-13,264.04358804019273
2023-01-14,263.6234585710609
2023-01-15,263.62345857106055
2023-01-16,263.8457108761468
2023-01-17,263.8457108761456
2023-01-18,263.743679330169
2023-01-19,263.743679330171
2023-01-20,263.8897674661732
2023-01-21,263.8897674661732
2023-01-22,264.2980615574864
2023-01-23,264.298061557428
2023-01-24,264.538768915552
2023-01-25,264.5387689155485
2023-01-26,264.14383779144714
2023-01-27,264.1438377914468
2023-01-28,264.3866968636834
2023-01-29,264.3866968636821
