Date,ARIMA_Forecast
2022-12-31,336.67994565400204
2023-01-01,336.6795656393964
2023-01-02,336.2443980912567
2023-01-03,336.72146410366116
2023-01-04,336.49862221882466
2023-01-05,336.54566849668635
2023-01-06,336.5576681056956
2023-01-07,336.52009037864565
2023-01-08,336.5505556296843
2023-01-09,336.5370238362778
2023-01-10,336.53985760670685
2023-01-11,336.5415174945645
2023-01-12,336.5386954504435
2023-01-13,336.54067136941524
2023-01-14,336.5398337443607
2023-01-15,336.5399663954282
2023-01-16,336.5401278458008
2023-01-17,336.5399254876799
2023-01-18,336.54005466018094
2023-01-19,336.54000378944266
2023-01-20,336.54000786106826
2023-01-21,336.5400215814709
2023-01-22,336.5400073526433
2023-01-23,336.5400157662322
2023-01-24,336.54001277739263
2023-01-25,336.5400127065066
2023-01-26,336.54001379736826
2023-01-27,336.5400128098224
2023-01-28,336.540013351846
2023-01-29,336.5400131835856
