Date,SARIMA_Forecast
2022-12-31,187.81087241309763
2023-01-01,187.81087241296538
2023-01-02,188.0490486180347
2023-01-03,188.0490486180245
2023-01-04,187.14423200282297
2023-01-05,187.14423200248208
2023-01-06,187.43033343604614
2023-01-07,187.43033343579825
2023-01-08,187.16237094309517
2023-01-09,187.16237094270153
2023-01-10,187.2467747082131
2023-01-11,187.24677470639102
2023-01-12,187.7975007375781
2023-01-13,187.79750073745603
2023-01-14,188.02196792089902
2023-01-15,188.0219679208896
2023-01-16,187.04288953301324
2023-01-17,187.04288953269858
2023-01-18,186.96921290878834
2023-01-19,186.96921290855954
2023-01-20,187.20043276243584
2023-01-21,187.20043276207247
2023-01-22,187.1821678271448
2023-01-23,187.18216782546293
2023-01-24,187.76291199985306
2023-01-25,187.7629119997302
2023-01-26,187.9884339519554
2023-01-27,187.98843395194586
2023-01-28,187.0150692467568
2023-01-29,187.01506924644013
