Date,ARIMA_Forecast
2022-12-31,300.48604453108084
2023-01-01,300.48605457134386
2023-01-02,300.31943222218524
2023-01-03,300.31941497394814
2023-01-04,300.3439538164287
2023-01-05,300.3439565044902
2023-01-06,300.3350369297915
2023-01-07,300.33503516231497
2023-01-08,300.3366247032379
2023-01-09,300.33662502300103
2023-01-10,300.33613319245495
2023-01-11,300.3361330509395
2023-01-12,300.33623154590464
2023-01-13,300.3362315750063
2023-01-14,300.3362038910716
2023-01-15,300.336203880689
2023-01-16,300.3362098386634
2023-01-17,300.3362098409865
2023-01-18,300.33620826119807
2023-01-19,300.3362082604686
2023-01-20,300.33620861593613
2023-01-21,300.3362086161081
2023-01-22,300.3362085251524
2023-01-23,300.3362085251025
2023-01-24,300.33620854613906
2023-01-25,300.33620854615117
2023-01-26,300.33620854088474
2023-01-27,300.3362085408814
2023-01-28,300.3362085421203
2023-01-29,300.33620854212114
