Date,Prophet_Forecast
2022-12-31,190.14268942052874
2023-01-01,190.43676910083335
2023-01-02,180.3935039394707
2023-01-03,180.74897746003947
2023-01-04,181.05359880437845
2023-01-05,181.18877908785734
2023-01-06,181.13867775550526
2023-01-07,191.2827848866968
2023-01-08,191.2062774006273
2023-01-09,180.749069254843
2023-01-10,180.6557264257998
2023-01-11,180.48609469750335
2023-01-12,180.13172545041556
2023-01-13,179.58735259519
2023-01-14,189.24319402709574
2023-01-15,188.6950232771125
2023-01-16,177.79293925533386
2023-01-17,177.2910125400015
2023-01-18,176.75766355269926
2023-01-19,176.09186456982334
2023-01-20,175.29442473543395
2023-01-21,184.76013656524748
2023-01-22,184.08773368970327
2023-01-23,173.12859065143587
2023-01-24,172.63634490370825
2023-01-25,172.1772967745457
2023-01-26,171.64667849890608
2023-01-27,171.0400493928781
2023-01-28,180.7455923925946
2023-01-29,180.35425735917417
