Date,SARIMA_Forecast
2022-12-31,335.1054643972892
2023-01-01,335.9672636650573
2023-01-02,334.87941445043936
2023-01-03,334.03690798425174
2023-01-04,334.7851368760123
2023-01-05,334.9299942636767
2023-01-06,334.38658516198865
2023-01-07,334.89293356083914
2023-01-08,335.1618391915299
2023-01-09,335.31490279303614
2023-01-10,336.2078308183536
2023-01-11,335.73195155921275
2023-01-12,335.04616862558527
2023-01-13,336.22075069733313
2023-01-14,335.01573175080233
2023-01-15,334.2157249639811
2023-01-16,334.94720386949217
2023-01-17,335.0989373954176
2023-01-18,334.552443042958
2023-01-19,335.05965987501816
2023-01-20,335.3279111841468
2023-01-21,335.48073278374255
2023-01-22,336.3753735951864
2023-01-23,335.8986823949109
2023-01-24,335.2130540854816
2023-01-25,336.3875793562367
2023-01-26,335.18258169711595
2023-01-27,334.382567194537
2023-01-28,335.11404914782514
2023-01-29,335.2657814183371
