Date,Prophet_Forecast
2022-12-31,362.8666732991524
2023-01-01,362.8150048185631
2023-01-02,349.9476653941133
2023-01-03,349.7319794966826
2023-01-04,349.7029001158661
2023-01-05,349.3967465256694
2023-01-06,348.7540991907394
2023-01-07,360.60807724156956
2023-01-08,359.8604183256967
2023-01-09,346.2570682464481
2023-01-10,345.2790254035881
2023-01-11,344.4760494905034
2023-01-12,343.4000790987128
2023-01-13,342.0077786285726
2023-01-14,353.1484481676812
2023-01-15,351.7397250222757
2023-01-16,337.54279360998015
2023-01-17,336.0528582018494
2023-01-18,334.8324973734255
2023-01-19,333.4447538985906
2023-01-20,331.85538901021926
2023-01-21,342.92054242151767
2023-01-22,341.56223352693075
2023-01-23,327.5434260391068
2023-01-24,326.35841475986314
2023-01-25,325.56615609538915
2023-01-26,324.7233972613369
2023-01-27,323.7870327317863
2023-01-28,335.60192737704995
2023-01-29,335.07663822213533
