Date,ARIMA_Forecast
2022-12-31,139.82234118696474
2023-01-01,139.82234819809923
2023-01-02,139.79843143951163
2023-01-03,139.79842802876752
2023-01-04,139.80285771421285
2023-01-05,139.80285857200448
2023-01-06,139.80192203865332
2023-01-07,139.80192178567705
2023-01-08,139.802105123027
2023-01-09,139.80210518259005
2023-01-10,139.80206766907736
2023-01-11,139.8020676542171
2023-01-12,139.80207513604245
2023-01-13,139.80207513945052
2023-01-14,139.80207362506695
2023-01-15,139.80207362427484
2023-01-16,139.80207392819636
2023-01-17,139.8020739283742
2023-01-18,139.8020738670794
2023-01-19,139.8020738670395
2023-01-20,139.80207387936633
2023-01-21,139.80207387937514
2023-01-22,139.80207387689205
2023-01-23,139.80207387689012
2023-01-24,139.80207387738983
2023-01-25,139.80207387739026
2023-01-26,139.80207387728964
2023-01-27,139.80207387728956
2023-01-28,139.80207387730982
2023-01-29,139.80207387730985
