Date,SARIMA_Forecast
2022-12-31,131.6992290082933
2023-01-01,131.84504000227446
2023-01-02,131.7171509878826
2023-01-03,131.74413747417248
2023-01-04,131.3226008633465
2023-01-05,131.53605309496714
2023-01-06,131.79162304137247
2023-01-07,131.67275764424738
2023-01-08,132.06885162444414
2023-01-09,132.61633880608085
2023-01-10,133.4553051278375
2023-01-11,133.43397014453555
2023-01-12,133.4247609107676
2023-01-13,132.94777400859383
2023-01-14,132.89729528955218
2023-01-15,132.8957350919471
2023-01-16,132.66975965341024
2023-01-17,133.09918223077943
2023-01-18,133.34118124838122
2023-01-19,133.20569067800847
2023-01-20,133.62135576604044
2023-01-21,134.02438490233192
2023-01-22,134.79290702108867
2023-01-23,134.68481678227712
2023-01-24,134.67498255347985
2023-01-25,134.23521191884112
2023-01-26,134.18322062269874
2023-01-27,134.18517643382137
2023-01-28,133.9501081228467
2023-01-29,134.3689569783328
