Date,ARIMA_Forecast
2022-12-31,145.76988180404075
2023-01-01,145.7698937731436
2023-01-02,145.79890504015054
2023-01-03,145.79890713852816
2023-01-04,145.80442686700692
2023-01-05,145.80442833613213
2023-01-06,145.80627264183622
2023-01-07,145.8062728742725
2023-01-08,145.80655790481705
2023-01-09,145.80655804156441
2023-01-10,145.80668075162083
2023-01-11,145.8066807703519
2023-01-12,145.80669321009395
2023-01-13,145.8066932215573
2023-01-14,145.80670192722016
2023-01-15,145.80670192849888
2023-01-16,145.8067021935251
2023-01-17,145.80670219443888
2023-01-18,145.80670286328314
2023-01-19,145.80670286335865
2023-01-20,145.8067028289104
2023-01-21,145.80670282898126
2023-01-22,145.80670288491402
2023-01-23,145.8067028849177
2023-01-24,145.8067028775446
2023-01-25,145.80670287755
2023-01-26,145.80670288260006
2023-01-27,145.80670288260018
2023-01-28,145.8067028815962
2023-01-29,145.8067028815966
