Date,Prophet_Forecast
2022-12-31,146.3587464545956
2023-01-01,146.08071202450736
2023-01-02,135.12254426542475
2023-01-03,134.51677700973303
2023-01-04,134.4432404836085
2023-01-05,134.26054807050346
2023-01-06,133.86996442208044
2023-01-07,143.3065587635334
2023-01-08,142.6818316330853
2023-01-09,131.3966576901312
2023-01-10,130.49004396262117
2023-01-11,130.14789998603393
2023-01-12,129.7343607092239
2023-01-13,129.15550203699007
2023-01-14,138.4503570713228
2023-01-15,137.73342511815898
2023-01-16,126.4075194276208
2023-01-17,125.51245578522176
2023-01-18,125.23378049289012
2023-01-19,124.93407997912644
2023-01-20,124.51671251713506
2023-01-21,134.016869944832
2023-01-22,133.5441605157415
2023-01-23,122.49555716442882
2023-01-24,121.90421091982401
2023-01-25,121.94832498397203
2023-01-26,121.9826281400929
2023-01-27,121.90228393316207
2023-01-28,131.7341391307919
2023-01-29,131.57949797181084
