Date,ARIMA_Forecast
2022-12-31,228.7418870525735
2023-01-01,228.59676248910446
2023-01-02,228.4101233637573
2023-01-03,228.7276562581076
2023-01-04,228.52086202682537
2023-01-05,228.59640807621076
2023-01-06,228.55999827442594
2023-01-07,228.55235897918487
2023-01-08,228.578896850412
2023-01-09,228.55992787517857
2023-01-10,228.56992206285702
2023-01-11,228.5643686513057
2023-01-12,228.56478068907762
2023-01-13,228.566672725643
2023-01-14,228.56504022499396
2023-01-15,228.56617696288305
2023-01-16,228.56547506138733
2023-01-17,228.5656347326041
2023-01-18,228.56573351650633
2023-01-19,228.56560616875038
2023-01-20,228.56572250452973
2023-01-21,228.56564314706515
2023-01-22,228.5656701190113
2023-01-23,228.56567042096253
2023-01-24,228.56566208180308
2023-01-25,228.56567290447626
2023-01-26,228.56566465337002
2023-01-27,228.56566827021612
2023-01-28,228.56566737120673
2023-01-29,228.5656670323127
