Date,Prophet_Forecast
2022-12-31,319.2485316162521
2023-01-01,320.0758034239385
2023-01-02,321.7680349610233
2023-01-03,322.4066401501569
2023-01-04,323.4242875862046
2023-01-05,323.82441837399415
2023-01-06,324.8665510640139
2023-01-07,325.7187287499729
2023-01-08,326.7274827934061
2023-01-09,328.5657598217874
2023-01-10,329.3112063942181
2023-01-11,330.3932084217309
2023-01-12,330.8124874492331
2023-01-13,331.8264765337748
2023-01-14,332.6018288943181
2023-01-15,333.4844320257627
2023-01-16,335.14737231631807
2023-01-17,335.66924316733724
2023-01-18,336.48119256428635
2023-01-19,336.58651136465124
2023-01-20,337.2459845278589
2023-01-21,337.6303583129556
2023-01-22,338.090296368101
2023-01-23,339.3042703751296
2023-01-24,339.3567792683204
2023-01-25,339.6852943851735
2023-01-26,339.2997335962272
2023-01-27,339.4676887657478
2023-01-28,339.3667620043989
2023-01-29,339.3543863360864
