Date,Prophet_Forecast
2022-12-31,276.1262196756579
2023-01-01,275.0416149689596
2023-01-02,278.8782743394031
2023-01-03,277.92762849099404
2023-01-04,276.77292423316106
2023-01-05,275.68634900811793
2023-01-06,274.35469592833766
2023-01-07,268.12927806495964
2023-01-08,267.03086764523067
2023-01-09,270.9429327314714
2023-01-10,270.155787095683
2023-01-11,269.2495097273756
2023-01-12,268.49111604705894
2023-01-13,267.5603249428566
2023-01-14,261.799628431866
2023-01-15,261.21943606856814
2023-01-16,265.6915616210154
2023-01-17,265.493661289945
2023-01-18,265.19247225220334
2023-01-19,265.04132493986276
2023-01-20,264.7062637469735
2023-01-21,259.51647304702965
2023-01-22,259.46977051762383
2023-01-23,264.4264252579975
2023-01-24,264.6539003277345
2023-01-25,264.7103595206207
2023-01-26,264.8424037695823
2023-01-27,264.7113650609595
2023-01-28,259.64384934420343
2023-01-29,259.6372866302413
