Date,SARIMA_Forecast
2022-12-31,139.6146751815513
2023-01-01,140.07830397507936
2023-01-02,139.68979997907874
2023-01-03,140.08410654876388
2023-01-04,140.13713430789494
2023-01-05,140.00563868876495
2023-01-06,140.23424483242195
2023-01-07,140.17899163522833
2023-01-08,140.39163594220696
2023-01-09,140.65462015392484
2023-01-10,140.97747946931338
2023-01-11,141.0960136694051
2023-01-12,140.98473285972008
2023-01-13,141.14161237259648
2023-01-14,141.05183967005695
2023-01-15,141.31319802104895
2023-01-16,141.20998581429046
2023-01-17,141.22634685219555
2023-01-18,141.20077694756756
2023-01-19,141.20943187109145
2023-01-20,141.5108436895704
2023-01-21,141.50741715707056
2023-01-22,141.84166182346598
2023-01-23,142.01662788804552
2023-01-24,141.87322720956593
2023-01-25,142.06605987716304
2023-01-26,141.94127378391266
2023-01-27,142.21821459321185
2023-01-28,142.13331479995037
2023-01-29,142.1323460066148
