Date,Prophet_Forecast
2022-12-31,111.13513222116863
2023-01-01,111.62606303775996
2023-01-02,113.08864375596897
2023-01-03,113.70980164327217
2023-01-04,114.24471377585351
2023-01-05,114.6068897291374
2023-01-06,115.1420990141268
2023-01-07,114.82154373138358
2023-01-08,115.36332932604812
2023-01-09,116.85244075695216
2023-01-10,117.47544937963262
2023-01-11,117.98757970313606
2023-01-12,118.30280442526185
2023-01-13,118.76777567988228
2023-01-14,118.35499251755189
2023-01-15,118.78425726290686
2023-01-16,120.14262804677871
2023-01-17,120.61909303091612
2023-01-18,120.97159593839146
2023-01-19,121.11708197884315
2023-01-20,121.40537300678919
2023-01-21,120.81227304243608
2023-01-22,121.06095808701984
2023-01-23,122.24185897123463
2023-01-24,122.54726431397204
2023-01-25,122.73827484536983
2023-01-26,122.73477986533887
2023-01-27,122.88926635674954
2023-01-28,122.17986351915847
2023-01-29,122.33167820423833
