Date,SARIMA_Forecast
2022-12-31,179.74633903167168
2023-01-01,179.7463390316731
2023-01-02,179.28770588474998
2023-01-03,179.28770588475248
2023-01-04,179.20627935947294
2023-01-05,179.20627935948204
2023-01-06,179.86190391518966
2023-01-07,179.86190391521086
2023-01-08,179.6679898866203
2023-01-09,179.66798988663186
2023-01-10,179.9698829421081
2023-01-11,179.96988294205445
2023-01-12,179.93961378611715
2023-01-13,179.93961378611843
2023-01-14,180.05677351766184
2023-01-15,180.05677351766406
2023-01-16,180.20566289094094
2023-01-17,180.20566289094918
2023-01-18,180.53190800437477
2023-01-19,180.53190800439384
2023-01-20,180.49083715539555
2023-01-21,180.49083715540593
2023-01-22,180.87922980615394
2023-01-23,180.87922980610566
2023-01-24,180.87751827146172
2023-01-25,180.877518271463
2023-01-26,180.93730493818398
2023-01-27,180.9373049381863
2023-01-28,181.06324521036854
2023-01-29,181.06324521037683
