Date,SARIMA_Forecast
2022-12-31,722.8645009060623
2023-01-01,722.9421436214934
2023-01-02,721.0449319433866
2023-01-03,722.3974120332576
2023-01-04,724.1270199223059
2023-01-05,725.6080400180543
2023-01-06,725.7240947004093
2023-01-07,725.4491593455081
2023-01-08,726.3266021200986
2023-01-09,725.6589698801578
2023-01-10,725.7037807707773
2023-01-11,727.0585371725472
2023-01-12,728.2832628243385
2023-01-13,728.406193120505
2023-01-14,726.4180335542064
2023-01-15,727.8084767568764
2023-01-16,729.5385240645478
2023-01-17,731.0459880857942
2023-01-18,731.1380580493521
2023-01-19,730.8529007671928
2023-01-20,731.6718361816439
2023-01-21,731.016543536991
2023-01-22,731.0838740926074
2023-01-23,732.4372940699213
2023-01-24,733.6609192394454
2023-01-25,733.7847805526002
2023-01-26,731.7961744794153
2023-01-27,733.1869986292618
2023-01-28,734.9167027423629
2023-01-29,736.424316804019
