Date,SARIMA_Forecast
2022-12-31,300.3385261247708
2023-01-01,300.3385261320235
2023-01-02,300.32717873262015
2023-01-03,300.3271787326634
2023-01-04,300.30995154044297
2023-01-05,300.3099515406315
2023-01-06,300.26089726552993
2023-01-07,300.2608972657217
2023-01-08,300.4341503368557
2023-01-09,300.4341503365344
2023-01-10,300.8669380841227
2023-01-11,300.8669380836845
2023-01-12,301.06414946350907
2023-01-13,301.06414947075865
2023-01-14,301.05299268211536
2023-01-15,301.0529926821586
2023-01-16,301.03593324607965
2023-01-17,301.03593324626814
2023-01-18,300.98628311450733
2023-01-19,300.98628311469906
2023-01-20,301.16109736686707
2023-01-21,301.1610973665459
2023-01-22,301.5923340534283
2023-01-23,301.59233405299034
2023-01-24,301.7895459818621
2023-01-25,301.7895459891117
2023-01-26,301.77838911997105
2023-01-27,301.7783891200143
2023-01-28,301.7613296130898
2023-01-29,301.7613296132783
