Date,SARIMA_Forecast
2022-12-31,207.03792008150893
2023-01-01,206.62504896723712
2023-01-02,206.2090516009215
2023-01-03,205.85076908815375
2023-01-04,205.51530141615495
2023-01-05,205.8667898045829
2023-01-06,205.97599441774864
2023-01-07,206.5231893893006
2023-01-08,207.0405583904962
2023-01-09,207.21755626601063
2023-01-10,207.92808137833995
2023-01-11,207.5407731906792
2023-01-12,207.2866400514173
2023-01-13,206.96549294340898
2023-01-14,206.5111523889402
2023-01-15,206.16845048493514
2023-01-16,205.82635569189478
2023-01-17,206.1807811016393
2023-01-18,206.28886408824562
2023-01-19,206.83658380251916
2023-01-20,207.353749565529
2023-01-21,207.53054357920374
2023-01-22,208.24116384421458
2023-01-23,207.85373121446557
2023-01-24,207.5996097327145
2023-01-25,207.27845781940707
2023-01-26,206.82411928126504
2023-01-27,206.48141656639174
2023-01-28,206.13932212256836
2023-01-29,206.4937473727052
